location,year,racial_group,employer_preference,academia_vs_alumni,event_type_preferences,event_style_preferences,panel_type,workshop_type,special_groups,subject_preferences,top_five_recommendations
Off campus (D.C.),Senior,Asian,Corporate based events,Connect with alumni,In-person,Workshop,,Interview,"['LGBTQ+', 'FLI', 'Race', 'None (Please rank first if no subjects are of interest)', 'International student', 'Neurodivergency']","['Finance', 'Bio-tech', 'Consulting', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health']","[6, 2, 8,  16, 14]"
On campus,Graduate,Caucasian,Internships,Connect with alumni,In-person,Workshop,,Interview,"['LGBTQ+', 'Race', 'FLI', 'International student', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)']","['Pre-Health', 'Medical School', 'Consulting', 'Bio-tech', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']","[6, 17, 13, 4, 12]"
On campus,Junior,Latine,Internships,Higher academia pathways,In-person,Workshop,,Interview,"['International student', 'FLI', 'Neurodivergency', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Race']","['Pre-Health', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting', 'Finance', 'Bio-tech']","[14, 2, 14, 24, 27]"
Off campus (D.C.),Sophomore,Latine,Internships,Higher academia pathways,Virtual,Workshop,,Resume,"['None (Please rank first if no subjects are of interest)', 'LGBTQ+', 'International student', 'Neurodivergency', 'FLI', 'Race']","['Bio-tech', 'Medical School', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Consulting']","[17, 14, 1, 24, 28]"
On campus,Graduate,Latine,Internships,Connect with alumni,In-person,Panel,Network,,"['Race', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'International student', 'FLI', 'Neurodivergency']","['Consulting', 'Pre-Health', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Medical School']","[26, 15, 16, 1, 25]"
On campus,Senior,Asian,Corporate based events,Higher academia pathways,Virtual,Panel,Network,,"['International student', 'Race', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'FLI', 'LGBTQ+']","['Consulting', 'Medical School', 'Finance', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health']","[25, 16, 10, 13, 1]"
Off campus (D.C.),Senior,Latine,Corporate based events,Connect with alumni,In-person,Panel,Network,,"['None (Please rank first if no subjects are of interest)', 'International student', 'Race', 'FLI', 'Neurodivergency', 'LGBTQ+']","['Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Medical School', 'Consulting', 'Finance', 'Pre-Health']","[8, 16, 26, 25, 10]"
Off campus (D.C.),Senior,Caucasian,Internships,Higher academia pathways,Virtual,Workshop,,Resume,"['Race', 'International student', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'FLI', 'Neurodivergency']","['Pre-Health', 'Medical School', 'Bio-tech', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance']","[17, 24, 23, 28, 13]"
On campus,Senior,Latine,Corporate based events,Connect with alumni,In-person,Panel,Q&A,,"['FLI', 'International student', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Race', 'Neurodivergency']","['Bio-tech', 'Consulting', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Medical School']","[25, 16, 1, 26, 7]"
On campus,Junior,Black,Internships,Connect with alumni,Virtual,Workshop,,Resume,"['Race', 'FLI', 'International student', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency', 'LGBTQ+']","['Medical School', 'Pre-Health', 'Bio-tech', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Consulting']","[17, 24, 27, 5, 28]"
