,location,year,racial_group,employer_preference,academia_vs_alumni,event_type_preferences,event_style_preferences,panel_type,workshop_type,special_groups,subject_preferences
0,On campus,Graduate,Asian,Corporate based events,Connect with alumni,In-person,Workshop,,Interview,"['LGBTQ+', 'International student', 'Neurodivergency', 'Race', 'None (Please rank first if no subjects are of interest)', 'FLI']","['Pre-Health', 'Medical School', 'Consulting', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech', 'Finance']"
1,On campus,Sophomore,Caucasian,Internships,Connect with alumni,Virtual,Workshop,,Resume,"['LGBTQ+', 'Race', 'FLI', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student']","['Medical School', 'Consulting', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Finance']"
2,On campus,First,Caucasian,Corporate based events,Higher academia pathways,In-person,Workshop,,Interview,"['International student', 'LGBTQ+', 'Race', 'Neurodivergency', 'FLI', 'None (Please rank first if no subjects are of interest)']","['Bio-tech', 'Medical School', 'Pre-Health', 'Consulting', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
3,Off campus (D.C.),Sophomore,Caucasian,Corporate based events,Connect with alumni,Virtual,Workshop,,Interview,"['None (Please rank first if no subjects are of interest)', 'FLI', 'Race', 'Neurodivergency', 'LGBTQ+', 'International student']","['Finance', 'Medical School', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Pre-Health', 'Consulting']"
4,Off campus (D.C.),First,Caucasian,Internships,Higher academia pathways,Virtual,Panel,Q&A,,"['International student', 'LGBTQ+', 'Neurodivergency', 'FLI', 'Race', 'None (Please rank first if no subjects are of interest)']","['Pre-Health', 'Finance', 'Consulting', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School']"
5,Off campus (D.C.),Sophomore,Caucasian,Corporate based events,Higher academia pathways,Virtual,Panel,Network,,"['FLI', 'Neurodivergency', 'LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'Race', 'International student']","['Bio-tech', 'Finance', 'Consulting', 'Medical School', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
6,Off campus (D.C.),Sophomore,Black,Corporate based events,Higher academia pathways,Virtual,Panel,Network,,"['Neurodivergency', 'LGBTQ+', 'FLI', 'None (Please rank first if no subjects are of interest)', 'International student', 'Race']","['Consulting', 'Pre-Health', 'Medical School', 'Bio-tech', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)']"
7,Off campus (D.C.),First,Latine,Corporate based events,Connect with alumni,In-person,Workshop,,Resume,"['FLI', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'Race', 'LGBTQ+']","['Consulting', 'Pre-Health', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Bio-tech', 'Finance']"
8,On campus,Graduate,Latine,Corporate based events,Higher academia pathways,Virtual,Workshop,,Interview,"['FLI', 'LGBTQ+', 'International student', 'Race', 'None (Please rank first if no subjects are of interest)', 'Neurodivergency']","['Bio-tech', 'Consulting', 'Medical School', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Finance', 'Pre-Health']"
9,On campus,Sophomore,Black,Corporate based events,Higher academia pathways,Virtual,Workshop,,Interview,"['LGBTQ+', 'FLI', 'Neurodivergency', 'None (Please rank first if no subjects are of interest)', 'International student', 'Race']","['Finance', 'Bio-tech', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Medical School', 'Pre-Health', 'Consulting']"
10,Off campus (D.C.),First,Latine,Internships,Higher academia pathways,In-person,Panel,Q&A,,"['LGBTQ+', 'None (Please rank first if no subjects are of interest)', 'International student', 'Neurodivergency', 'FLI', 'Race']","['Consulting', 'Medical School', 'Pre-Health', 'Finance', 'Current Major/Academic pathway (Please rank first if no subjects interest you)', 'Bio-tech']"
